Nr;Art;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;L/B;StanDost;Wart;OstRez;Dz;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
1098;5;130;ULTDS12PSGRSP;DRZWI SUWANE 1200 ULTRA PRAWE SREBRNY;ODDS12222003R;POŁYSK/SZKŁO SCREEN GUARD Z REFLEX;B;1.000;;1170113;S;GEWA01;14280074;1;4000;SXC;SCC;03843;
1099;5;130;#REHRV1;PIERŚCIEŃ USZCZELNIAJĄCY RAUTHERMEX;12979301001;126 DO OSŁONY MAŁEJ;;2.000;;1140811;G;REPR02;14031595;1;2000;STE;SCE;03513;
1100;5;130;#REHRV1;PIERŚCIEŃ USZCZELNIAJĄCY RAUTHERMEX;12979271001;111 DO OSŁONY MAŁEJ;;8.000;;1140811;G;REPR02;14031595;1;1000;STE;SCE;03513;
1101;5;130;ECN30R;UMYWALKA RYNNOWA SATURN 300X40CM PRAWA;2000057528;STAL SZLACHETNA JEDWABISTY MAT ECN30R;B;3.000;;1140611;S;AQLD02;14014161;1;1000;STC;SCC;03748;
1102;5;130;ECN21L;UMYWALKA RYNN.SATURN ECN21L 2100x400x160;2000057522;L STAL;B;2.000;;1140611;S;AQLD02;14014161;1;2000;STC;SCC;03748;
1103;5;130;#REHRV1;PIERŚCIEŃ USZCZELNIAJĄCY RAUTHERMEX;13510611001;162 DO OSŁONY DUŻEJ;;8.000;;1140811;G;REPR02;14031595;1;3000;STE;SCE;03513;
1104;5;130;CN33KV3001800;GRZEJNIK COSMO 33KV 300x1800 (2810W);F1G3303018010000;PŁYTOWY;B;1.000;;1170111;G;VNWA01;14279900;1;14000;STB;SCB;03740;
1105;5;130;#CN;GRZEJNIK COSMO-NOVA DK/C 900*1200 (2315W;CN;) OCYNKOWANY;;1.000;;1080128;G;VNWA01;3253941;1;2000;TMP;TMP;03513;
1106;5;130;#BX7;SZAFKA METALOWA ZAWIESZANA 25S-805-B/Z*;OF.NR.OS-3676/2015/SKR;*3000 MIX;;2.000;;1151125;I;BOPI01;14154535;1;1000;TMP;TMP;03514;
1107;5;130;S600DR12SML;DRZWI ROZSUWANE 1200x2000 S600 LEWE;JDDS12222001L;SREBRNY MAT/SZKŁO GLASS PLUS;B;1.000;;1170119;S;GEWA01;14269485;1;1000;STF;SCF;03682;
1108;5;130;S600SB09SM;ŚCIANKA BOCZNA S600 900x2000;JSKX90222001;SREBRNY MAT/SZKŁO GLASS PLUS;B;1.000;;1170119;S;GEWA01;14269485;1;2000;STF;SCF;03682;
1109;5;130;BMSPACE80110EW;BRODZIK SPACE MINERAL 80x110x1,5;645290034001000;PROSTOKĄTNY BIAŁY EW + SYFON 90;B;1.000;;1161223;S;SAST01;14271884;1;6000;STF;SCF;03681;
1110;5;130;FREEZABP90BI;BRODZIK PÓŁOKRĄGŁY FREE 90x90x5;615040173001000;R550 Z SYFONEM I NOGAMI BIAŁY Z OBUDOWĄ;B;1.000;;1170104;S;SAST01;14275746;1;2000;STF;SCF;03681;
1111;5;130;ULTPR090CHA1AP;KABINA PÓŁOKRĄGŁA ULTRA 900x1950 (R55);OKPG90222003;SREBRNY POŁYSK/SZKŁO REFL. SCREEN GUARD;B;1.000;;1170120;S;GEWA01;14280074;1;1000;SXC;SCC;03843;
1112;5;130;GEO6KP90A;KABINA PÓŁOKRĄGŁA GEO6 CZĘŚĆ1/2 900x1900;GKPG90222003A;SR.POŁ/SZKŁO (R55);B;1.000;;1170120;S;GEWA01;14282162;1;1000;STG;SCG;03737;
1113;5;130;GEO6KP90B;KABINA PÓŁOKRĄGŁA GEO6 CZĘŚĆ2/2 900x1900;GKPG90222003B;SR.POŁ/SZKŁO (R55);B;1.000;;1170120;S;GEWA01;14282162;1;2000;STG;SCG;03737;
1114;5;130;PACBP90;BRODZIK PÓŁOKRĄGŁY PACYFIK 90x90x5;XBN0790000;BIAŁY (Ź90);B;1.000;;1170120;S;GEWA01;14282162;1;3000;STG;SCG;03737;
1115;5;130;TCGRWP16;RURA PEXC/AL/PEXC 16(17)x2.7 5M    WIELO;732216;W. SZTANGA  TECEFLEX;B;40.000;;1150126;I;TEST01;14076612;1;1000;STG;SCG;03740;
1116;5;130;CN22KVL500520;GRZEJNIK COSMO 22KV 500x 520  (802W);F1G2205005210010;PŁYTOWY LEWY;B;3.000;;1170112;G;VNWA01;14280253;1;3000;STB;SCB;03740;
1117;5;130;CN33KVL600400;GRZEJNIK COSMO 33KV 600x 400  (981W);F1G3306004010010;PŁYTOWY LEWY;B;1.000;;1170112;G;VNWA01;14280253;1;5000;STB;SCB;03740;
1118;5;130;CN22KVL500720;GRZEJNIK COSMO 22KV 500x 720 (1111W);F1G2205007210010;PŁYTOWY LEWY;B;1.000;;1170112;G;VNWA01;14280253;1;9000;STB;SCB;03740;
1119;5;130;CN21KVL500400;GRZEJNIK COSMO 21KV 500x 400  (491W);F1G2105004010010;PŁYTOWY LEWY;B;1.000;;1170112;G;VNWA01;14280253;1;20000;STB;SCB;03740;
